nombre_establecimiento,razon_social,fecha_alta,categoria_actividad,actividad,personas_ocupadas,tipo_empresa,tipo_centro_comercio,centro_comercio,tipo_unidad_economica,direccion,colonia,alcaldia,telefono,correo_electronico,pagina_web,latitud,longitud
16 DE SEPTIEMBRE,NUTRISA SA DE CV,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PALMA EXT. 39 INT. 3 C.P. 6000,CENTRO IV,CUAUHTEMOC,NA,NA,www.nutrisa.com.mx,19.43228818,-99.13536877
27-27  SUPLEMENTOS,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BENEMERITO DE LAS AMERICAS EXT. 29  C.P. 4360,NUEVA DIAZ ORDAZ,COYOACAN,"5580163702",NA,NA,19.32524109,-99.14718657
3D PHARMA,3D PHARMA S DE RL DE CV,2021-05-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA CAMINO MINAS EXT. 501  ,REACOMODO EL CUERNITO,ALVARO OBREGON,NA,contabilidad@3dpharma.com,NA,19.38176204,-99.20475714
7 ARCANGELES VENTA DE PRODUCTOS ESOTERICOS,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE IGNACIO MANUEL ALTAMIRANO   C.P. 9700,CARLOS HANK GONZALEZ,IZTAPALAPA,NA,NA,NA,19.3335527,-99.04763737
A MENARINI MEXICO,A MENARINI MEXICO SA DE CV,2016-01-01,Farmacias y salud,Farmacias con minisúper,251 y más personas,Grande empresa,NA,NA,Fijo,BOULEVARD ANILLO PERIFÉRICO (ADOLFO RUÍZ CORTINES) EXT. 4118 INT. 301 C.P. 1900,JARDINES DEL PEDREGAL,ALVARO OBREGON,NA,cvera@menarini.com.mx,NA,19.30670456,-99.21022472
ABARROTES FARMACIA ISRAEL,NA,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 2 PONIENTE (RIO TIBER) EXT. 80  C.P. 6500,CUAUHTEMOC,CUAUHTEMOC,NA,NA,NA,19.43000158,-99.16916232
ABARROTES SANTA ANA,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA ADOLFO LOPEZ MATEOS EXT. 18 INT. 0 C.P. 7250,BENITO JUAREZ,GUSTAVO A. MADERO,NA,NA,NA,19.53539747,-99.14194679
ABARROTES Y FARMACIA LUPITA,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA IZTACCIHUATL (AGUASCALIENTES)   C.P. 13509,PEA ALTA,TLAHUAC,NA,NA,NA,19.23413259,-99.0019914
ABC FARMA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MARCOS EXT. 128  C.P. 15430,AQUILES SERDAN,VENUSTIANO CARRANZA,NA,NA,NA,19.44944764,-99.09295427
ABEJA NATURISTA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,MERCADO PUBLICO,CARMEN SERDAN,Fijo,CALLE CAPITANA MANUELA MEDINA EXT. 303 INT. 0 C.P. 4910,CARMEN SERDAN,COYOACAN,NA,NA,NA,19.32004919,-99.10595495
